Smart Contract,Function Name,RENT,UE,is_student,Comments
0x000000000000541e251335090ac5b47176af4f7e,dexBlue.spendGasTokens,1,1,1,REENT -- Multi call bug---------- No REENT: no ether involved
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.matchOrderWithReserve,1,,0,REENT -- balances[order.sellToken][order.signee]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.matchOrderWithReserveWithData,1,,0,REENT -- balances[order.sellToken][order.signee]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.settleRingTrade,1,,0,REENT -- balances[trades[i].giveToken][reserve]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.settleRingTradeWithData,1,,0,REENT -- balances[trades[i].giveToken][reserve]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.swapWithReserve,0,,0,
0x0000000000b3f879cb30fe243b4dfee438691c04,GasToken2.destroyChildren,1,,0,REENT -- Multi call bug
0x00195777bed7025e78819156281192c85fb3cf9b,GAME.startRaffle,1,0,1,---------- REENT -- state var jackpot
0x0030f75e27f6df16383f47ae11ae34abc21f5f2c,TYRANT.internalTransfer,1,,0,
0x0043a4a809be33afa17c1e3e37e19977622e4700,WithdrawableV2._withdrawAllSurcharges,1,0,1,--------
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._mintFarmTokenAmount,1,,0,
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._removeLiquidity,1,,0,"REENT -- _safeTransfer(setupInfo.liquidityPoolTokenAddress, exitFeeWallet, fee);"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._toggleSetup,1,0,1,"REENT -- require(block.number > _setupsInfo[setup.infoIndex].startBlock, ""Too early for this setup"");--------"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.addLiquidity,0,,0,No REENT --- no ext call
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.openPosition,1,0,1,--------
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.unlock,1,,0,
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.withdrawLiquidity,1,,0,"REENT -- withdrawReward, delete setups[]"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.withdrawReward,1,0,1,REENT -- delete _positions[positionId];--------
0x009f3de1e8878cda9c2e94a6ce6084d9ca86425c,WalletLibrary.confirm,0,0,1,no REENT -- onlymanyowners modifier---------- No REENT: modifier onlymanyowner
0x00b25822e3b8f8720b327f2df8e7c6f96271c8dc,JINJAINU.ContractTransfer,0,,0,no REENT -- ext call at the end
0x00b6358d1ac8d3731defd6b4d593b6ba04f9b8ea,EtherRolling.emergencyWithdraw,1,,0,
0x00b6358d1ac8d3731defd6b4d593b6ba04f9b8ea,EtherRolling.withdraw,1,0,1,--------
0x00dd5ad8f5d9c5118bceeb526c55ea6b2c07e922,Venify._transfer,0,,0,No REENT --- Sends ETH to a fixed address
0x00fe8ef58dc8282cac6e1d275acf0821c5084e88,Wallet.confirm,0,0,1,No REENT --- modifier onlymanywoners---------- No REENT : modifieronlymanyowners
0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed,Finplether.doInvest,1,1,1,--------
0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d,CB_BANK.Collect,1,0,1,---------- Reason for REENT: state var. acc.balance
0x0321be5f545ea569424aace4dc08d60f467229ac,BlackErc20.mintProof,1,,0,
0x03358425ada4620246dd703dc1f2246b8e148d22,BoomerangLiquidity.payout,1,1,1,--------UE: participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)(); -- not checked -- REENT: payoutOrder
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.bid,1,,0,
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.buy,1,,0,
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.collect,1,,0,
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.withdrawERC20,0,1,1,No REENT because of onlyOwner--------
0x0453aa2dafff030614d9afef6c724ec2bee60876,SwifyStaking.closePosition,0,1,1,No REENT because of modifier non reentrant--------
0x0461c4e4b916bfc9449f853c7a854033b43c3a6c,Auction.start,0,1,1,No REENT because of modifier lock---------- UE: WRAPPED_ETH.deposit.value(balance)();
0x049658b3cc6ec345aaf2be7233a33da24ee82150,Bozu.internalTransfer,1,,0,
0x04d660832910ff492e940daff9ec7b3497e886ac,Revolution2.doInvest,1,1,1,--------
0x04f062809b244e37e7fdc21d9409469c989c2342,Joyso.migrateByAdmin_DQV,0,1,1,No REENT -- onlyAdmin--------
0x051bda85fbc58ace9d6060ba9488abe120ac072d,CRYPTOVATOR._transfer,0,,0,
0x0544ada225de796baa4030877314a96faacea7fc,ExclusiveDividendTracker._withdrawDividendOfUser,0,0,1,--------
0x0544ada225de796baa4030877314a96faacea7fc,ExclusiveDividendTracker.process,0,0,1,--------
0x058a144951e062fc14f310057d2fd9ef0cf5095b,HourglassX.reinvestPartial,0,,0,
0x05af72594440cf75c0fdcbbd9993fc26f62c7afc,TwelveHourAuction.buy,1,,0,REENT -- repay = ...g.keyLevel
0x06012c8cf97bead5deae237070f9587f8e7a266d,KittyBreeding.giveBirth,1,1,1,REENT -- mixGenes can reenter--------
0x0608d0d987ca8371af38fa0b6e028760110b987e,DeflatLottoBurn.fallback,1,0,1,---------- Reason for REENT: playerPool.length
0x064c81842a12127759b85f3b2d261abcacc2bfb0,VotingChallenge.sendReward,1,1,1,REENT -- voters[to].fullVotes[winner]--------
0x0654b7f747c9ee9f5fb5eba443e9fe64f1fa77ef,SAFX._transferFrom,0,,0,
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.DayQuKuan,1,0,1,--------
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.DayQuKuanUsdt,1,,0,
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.quhuiBET,1,,0,
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setETH,1,,0,
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setUSDT,1,,0,
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setVoteFandui,1,,0,
0x066416dc99bea2c852e46acf88128480479cf191,bebBUYtwo.setVoteZancheng,1,0,1,--------
0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e,MonkeyScam.determinePID,1,,0,REENT -- getPlayerName can reenter
0x06ef66ab59919e1c3b25ad4732a002f644fe0f8e,MonkeyScam.endRound,0,0,1,No REENT --sending Eth to fixed address---------- No REENT: address MonkeyKingCorp is fixed
0x0719feee345bf34877d0a1f2c1c40fcdf0f1c3e8,charge.claimFarmedToken,1,,0,
0x07a6ebf8549dd5cfdf201f6de9e7487113434dd7,Multiplier.pay,1,1,1,--------
0x07a6ebf8549dd5cfdf201f6de9e7487113434dd7,Multiplier.refunding,1,1,1,--------
0x07a6ebf8549dd5cfdf201f6de9e7487113434dd7,Multiplier.singleRefunding,1,1,1,--------
0x07c1c8c2bce6290daa554118b7d208041615ce54,RC.refundEther,0,,0,No REENT due to modifier
0x07c1c8c2bce6290daa554118b7d208041615ce54,RC.takeEther,0,,0,
0x07c1c8c2bce6290daa554118b7d208041615ce54,RCpro.refundEther,0,,0,No REENT -- modifier 
0x07c1c8c2bce6290daa554118b7d208041615ce54,RCpro.takeEther,0,,0,
0x07ef026be5f1452f494e7af1b13a3333d5cd2d23,DividendDistributor.distributeDividend,1,1,1,--------
0x07ef026be5f1452f494e7af1b13a3333d5cd2d23,IceMachine._transferFrom,1,,0,
0x081d8a340d384cffca0c2dafbf45020d760d7576,SOLIDBLOCK.transferFrom,0,,0,
0x08715190074e24cf2145e8a61b784a1b5ac9a505,DogeviathanBasic.createCollectible,1,0,1,--------
0x08759550264b7f8078d95eff8a0577001c833483,Canvas.buy,1,1,1,---------- gas limit may change in future
0x08cce68cfe23bbf13e3151c2a43dcc02623710d6,MoneyPrinter.distributeDividend,1,1,1,--------
0x08cce68cfe23bbf13e3151c2a43dcc02623710d6,SaylorsLastHope._transfer,0,,0,"No REENT -- 2nd external call at the end, 1st begining ext call does not reenter"
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.claimExternalTokens,1,0,1,--------
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.claimFunds,1,,0,
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.getTownTokens,1,0,1,--------
0x091ac882e57b89e071c8b153be3aab668a80303d,Town.remuneration,1,0,1,REENT -- if (restOfTokens > 0) {--------
0x092e038af43a42e0332810db3f50b923fb256ff0,Free3.claim,1,0,1,---------- REENT: stake.totalStaked
0x097a5e3d974332aa5612675caaaeb117091dc743,CoolUncle.distributeDividend,1,1,1,REENT -- shares[shareholder].totalExcluded is used in getUnpaidEarnings----------No REENT: protected by modifiers
0x097a5e3d974332aa5612675caaaeb117091dc743,ShibaUncle._transfer,0,,0,"No REENT -- external call at the end, begining ext call does not reenter"
0x099764910a38190bbd317857e635e6f461b11119,IronHands.payout,1,0,1,---------- REENT: payoutOrder
0x09a80172ed7335660327cd664876b5df6fe06108,Distribution.doPayments,1,,0,
0x09a80172ed7335660327cd664876b5df6fe06108,OMPxContract.getFee,1,1,1,--------
0x09ab651217b86d1ee7236e0fad1ebb19185fe769,MonkeyScam.determinePID,1,,0,REENT -- getPlayerName can reenter
0x09ab651217b86d1ee7236e0fad1ebb19185fe769,MonkeyScam.endRound,0,0,1,No REENT -- send Eth to fixed address--------
0x09d063d9950cdf02d545ec6fb0166491e3ea4fd2,BEAST._transfer,0,,0,
0x09d063d9950cdf02d545ec6fb0166491e3ea4fd2,BensRevival.distributeDividend,1,1,1,----------No REENT: protected by modifiers
0x09f5f9413cefd61044db02940540155507bdcc55,TwoCoinsOneMoonGame.withdraw,0,1,1,"No REENT -- 1st cann sends eth to fixed address, 2nd call is at the end--------"
0x09f6a183dc0375ccf8032c367881f3aafb5342ef,Bussiness.buy,1,1,1,--------
0x09f6a183dc0375ccf8032c367881f3aafb5342ef,Bussiness.buyByUsdt,1,,0,
0x09f6a183dc0375ccf8032c367881f3aafb5342ef,Bussiness.removePrice,0,,0,
0x0a42ef719ee77820993b27369089ae2c6bd6ced5,dapMultisig.executeTokenTxn,0,,0,No REENT -- modifier onlyOwner
0x0a42ef719ee77820993b27369089ae2c6bd6ced5,dapMultisig.executeTxn,0,0,1,No REENT -- modifier onlyOwner--------
0x0a5a0a14419f9db1da68cf2f550720e5df49d4fe,YZYVault._sendLotteryAmount,1,1,1,--------
0x0a5a0a14419f9db1da68cf2f550720e5df49d4fe,YZYVault.stake,0,0,1,No REENT -- dynamic analysis is needed to detect the bug -- staker.stakedAmount = staker.stakedAmount.add(newBalance);--------
0x0a5a0a14419f9db1da68cf2f550720e5df49d4fe,YZYVault.unstake,1,1,1,REENT -- staker.stakedAmount--------
0x0a5b38ac2d24c4fafc19ceb2591b70ece0d005d1,Daoclub.liquidate,1,0,1,--------REENT: _amountOfGrandTotalLiquidation
0x0a5b38ac2d24c4fafc19ceb2591b70ece0d005d1,Daoclub.redemptionApproveOne,0,,0,No REENT -- modifier onlyOwner
0x0a5b38ac2d24c4fafc19ceb2591b70ece0d005d1,Daoclub.subscriptionCancel,1,0,1,--------
0x0aabf9daefcd484405479d2748cbaedb53c33d87,DividendPayingToken._withdrawDividendOfUser,0,0,1,--------
0x0aabf9daefcd484405479d2748cbaedb53c33d87,MRFROG.updateDividendTracker,0,,0,
0x0aabf9daefcd484405479d2748cbaedb53c33d87,MRFROGDividendTracker.process,0,0,1,--------
0x0af27f9be4ac583a491ee6573ebdccf32d1b561c,TheBureau121._RFT,0,,0,
0x0af27f9be4ac583a491ee6573ebdccf32d1b561c,TheBureau121.transferOwner,0,0,1,no REENT -- modifier onlyOwner --------
0x0b452278223d3954f4ac050949d7998e373e7e43,SUZUME.intializeContract,0,,0,no REENT -- modifier onlyOwner
0x0b452278223d3954f4ac050949d7998e373e7e43,SUZUME.transferOwner,0,0,1,no REENT -- modifier onlyOwner ---------- no UE: given functions always return true
0x0b5ecbb411d8fe829e5eac253ee1f2dc05d8d1ae,KUNOICHIX._transfer,0,,0,no REENT -- no ext call in _transfer
0x0b9e8415f47da353ccc7ad58234321f50d49063a,Emeejis.orderEmeejis,0,0,1,no REENT -- reentrancyLock--------
0x0bc95951bb59d6fd063ce7ad5c3b3dcaace98132,ViVICO.contribute,1,,0,REENT -- totalDistributed
0x0c073c92e7684031cfc297b83ecc33619e864d18,XetherGames.placeBet,1,,0,REENT -- bet.gambler
0x0c073c92e7684031cfc297b83ecc33619e864d18,XetherGames.placeBetRoulette,1,,0,
0x0c073c92e7684031cfc297b83ecc33619e864d18,XetherGames.sendDividends,1,0,1,--------
0x0c2795fc4e1f57614eb78923dc78521ff0676fb8,BitChordCrowdsale.buy,1,,0,REENT -- stage_1_TokensSold
0x0c78003843b4a72b765938cb3b14aecb188dbc6a,Crowdsale.__callback,1,,0,
0x0c78003843b4a72b765938cb3b14aecb188dbc6a,Crowdsale.buyTokens,0,0,1,--------
0x0c7e06db03aee1d592887deeb5cd20ce79f7bdbe,VotingChallenge.sendReward,1,1,1,REENT -- voters[to].weightedVotes[winner]--------
0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676,Wallet.confirm,0,0,1,no REENT -- modifier onlymanywoners--------
0x0cb0a2136f2e80662eb5c50b96bfa3de85f335ce,IGLOO._transferFrom,0,,0,no REENT -- external call do not reenter
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.arbYes,0,,0,no REENT -- external call is equipped with safetly lock against reentrancy 
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.getFees,0,0,1,no REENT -- external call is equipped with safetly lock against reentrancy--------
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.getMoney,0,0,1,no REENT -- external call is equipped with safetly lock against reentrancy---------- RENT: safesend() sends ether
0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,EscrowGoods.yes,0,,0,no REENT -- external call is equipped with safetly lock against reentrancy
0x0d5a83d8b2dd05cbb7183824dc71b31d3e6d838e,SEISHI.transferFrom,1,,0,
0x0d75899cab4eec7b22b5bf3d4dd4d965ada8a8cb,FUEGO.transferFrom,1,,0,
0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080,DappVolumeAd.updateAd,1,1,1,---------- Reason for REENT: reentering the function again can set the value of state var. purchaseTimestamp wrongly. It would affect other functions
0x0d7c864bf6c86bf11da2c8068b4c4edee4d76080,DappVolumeAd.updateInvestor,0,1,1,"no REENT -- sending 60% of msg.value -- no benefit to attacker, moreover there is no need of reentrancy to perform the attack--------"
0x0d7e1053924599ceac270d3a28b839282781ecec,ExchangerV4.buy,0,0,1,"no REENT -- 1st call sends eth to owner, 2nd call at the end--------"
0x0e24224484c7e445438ae9ed9b03a0108ad798f2,ChipToken._transfer,0,,0,
0x0e30bc9512306534b85afd0c75065b455af55d45,COPIUM._transfer,0,,0,
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.buyNac,1,,0,REENT -- ask[_seller].volume = 0;
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.closeAskOrder,0,,0,REENT. --  namitoken.transfer cannot reenter
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.closeBidOrder,1,,0,
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiExchange.sellNac,1,,0,REENT -- bid[_buyer].eth = 0;
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiPool._withdrawNAC,0,,0,no REENT -- namitoken.transfer cannot reenter
0x0e33ca464b1c76a384039eb1b7e9dc3b0416b5ae,NamiPool.withdrawTop,1,,0,
0x0e3ea79e194aef78b69209447f0f6c17ed96a5d6,Web3NameService.allowListSubdomain,1,,0,REENT -- require(tokenAddressandID[new_domain] == 0)
0x0e3ea79e194aef78b69209447f0f6c17ed96a5d6,Web3NameService.register,0,,0,
0x0e3ea79e194aef78b69209447f0f6c17ed96a5d6,Web3NameService.registerSubdomain,1,,0,REENT -- require(tokenAddressandID[new_domain] == 0)
0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,DappIncubator.transfer,0,,0,no REENT -- external call() has modifier -- non-reentrant
0x0e9186d1d0c7aa2212e3f42405eda1bc35d826a9,dividendsContract.collectDividends,1,0,1,---------- Reason for REENT: state var. paid[member] and state var. totalPaid
0x0e94278497e51629c78697dac758fded6c8f188f,Dividends.fallback,1,0,1,---------- Reason for RENT: State variable users[user]-- It has reentrancy because of updation of the variable users[user] after transfer; it is checked in if condition (users[user] != 1) -- Reason for no UE: transfer function returns exception on fail
0x0eabed78fd49ad3c0a3e445954f29522025c09a0,WOAI.reserveWoai,0,0,1,no REENT --  -- onlyowner modifier--------NO COMMENTS SPECIFIED
0x0eb65b4c3d3de340e1b15384f8f211784247a37a,ReserveAuctionMarketplace._removeReserveAuctionListing,1,0,1,---------- no REENT: _removeReserveAuctionListing is private and this function is called from onlythose functions which are non reentrant
0x0efef0b34638addc8833ba729ae20016b5f24ffc,WithdrawContract.withdraw,1,0,1,REENT -- currentToken != d.token--------
0x0f6423618083e15989be7e4208c222cf759f99fb,TradableErc20.makeLiquidity,0,0,1,no REENT -- modifier--------
0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907,PreOrder.confirmOrder,1,0,1,"---------- Reason for REENT: Token(tokenAddress).transfer(owneraddress;price) can reenter and stat. var named ""status"""
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.ETHsend,0,,0,
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.addKey,0,,0,
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.deposit,1,,0,
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.emergencyWithdraw,0,,0,No REENT --userLock[msg.sender] = true; -- reentrancy lock
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.paySubscription,0,,0,No REENT -- secondaryUserLock[msg.sender] = false; -- reentrancy lock 
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.preApproveTokens,0,,0,No REENT -- secondaryUserLock[msg.sender] = false; -- reentrancy lock 
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.sendtoRecipient,1,,0,
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.tokenSend,0,,0,No REENT -- secondaryUserLock[msg.sender] = false; -- reentrancy lock 
0x0ffaa8eeb2ee18c9174e4c5d6af6ce48199c6879,Sargasso.withdraw,1,,0,
0x10452f898766f59a8514dc6856ff62bbdc6a0f51,Piggy_BNK.Collect,1,0,1,--------Reentrancy is the a vulnerability where an external contract can call back into the current contract before the current function has completed. This can potentially lead to unexpected behavior. In the above code snippet the 'msg.sender.call.value(_am)()' line is a call to an external contract using the low-level 'call' function.
0x10819fae72282b9a594e34c647a7bc446ef4ad2e,CryptoFun.doInvest,1,0,1,--------
0x108523415a8cd7cb8ef2d6b12177181f489ec210,DividendDistributor.distributeDividend,1,1,1,--------
0x10bbbebacd34509b1388a528003dbb77c20b22ba,MappingTokenFactory._createMappingToken,1,,0,
0x10bbbebacd34509b1388a528003dbb77c20b22ba,MappingTokenFactory.createMappableToken,1,,0,
0x10bbbebacd34509b1388a528003dbb77c20b22ba,MappingTokenFactory.createTokenMapped,1,0,1,--------
0x1190074795dad0e61b61270de48e108427f8f817,CoinMerge.teamWithdraw,1,,0,
0x119f4c9de5539fd053aed5091db4ba59f83330d7,DividendPayingToken._withdrawDividendOfUser,0,0,1,--------
0x119f4c9de5539fd053aed5091db4ba59f83330d7,PENGUDividendTracker.process,0,,0,No REENT --- ext calls not malicious
0x121726eaab9965b918f00b9871c25c4baf5cc960,Event.distribute,0,0,1,No REENT ---  --             states[attendees[i]] = ATTENDEE_REWARDED;--------
0x125365069020439b830c9eac9dd402f8aa762569,RatScam.determinePID,1,,0,REENT --  getPlayerID can reenter
0x125365069020439b830c9eac9dd402f8aa762569,RatScam.endRound,0,0,1,No REENT ---  sends eth to fixed address--------
0x12d82d7cf17d909fb5808707136200ed200b6d52,Investment.processUserTransactions,0,,0,No REENT --- modifier onlyOwner
0x12d82d7cf17d909fb5808707136200ed200b6d52,Investment.removeOrder,1,1,1,--------
0x12db622c98d75f6f19493d9acbc7479fe382ec44,TBECrowdsale.fallback,1,0,1,---------- Reason for no UE: tokenReward.transfer() does not return any value -- Reason for REENT: whitelistedMax[msg.sender]
0x132e2b67e91bf0294536b16d772e8dee099fc40c,Brave3d.overStage,1,,0,
0x132e2b67e91bf0294536b16d772e8dee099fc40c,Brave3d.withdraw,0,0,1,--------
0x136e99a415957fc3f23e0a6885b22bcd0c475ab4,Voting.addDestructionProposal,0,0,1,No REENT ---  addProposal -- sends Eth to a fixed address--------
0x136e99a415957fc3f23e0a6885b22bcd0c475ab4,Voting.addRaiseTapProposal,0,,0,No REENT ---  addProposal -- sends Eth to a fixed address
0x13d6cfd3b119dadaadd7561fe9a864064259bc56,SafeDif.distributeRef,0,,0,
0x13d6cfd3b119dadaadd7561fe9a864064259bc56,SafeDif.withdraw,1,1,1,---------- Reason for UE: sender.send()-- Reason for REENT: player_[uid].plans[i].isClose = bClose;
0x13ddd5c273a027608a42727a46f8250011645166,Fund.fundWithdraw,0,0,1,No REENT ---  modifier---------- Reason for no UE: transfer() function throws error if it fails
0x143eea4413231878f58dc812b3dc6f22835a5dd6,cb_BANK.Collect,1,0,1,--------
0x150dbfc384ba5c13c304efd2efee73cc57cc2c16,Lottery10ETH.drawing,1,1,1,--------
0x150dbfc384ba5c13c304efd2efee73cc57cc2c16,Lottery10ETH.fallback,0,,0,No REENT --- array issue player_[_affID2].aff is updated and dependency on other
0x15ada2a8e62134806a86db3030fefc0a2a13cc99,PonyBreeding.giveBirth,1,,0,REENT --mixGenes() can reenter
0x15ada2a8e62134806a86db3030fefc0a2a13cc99,PonyUpgrade.upgradePony,1,,0,REENT -- upgradeponyResult can callback
0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5,Depot.exchangeEtherForSynths,1,0,1,REENT -- multi call--------
0x15ed8dcd6d5d7c9e66a28cb70673389a5dc4fcf5,Synthetix.removeSynth,0,,0,No REENT ---  modifier
0x1684843a68f7e6489c666d524f178edb1af27772,BabyDubbz._transferFrom,0,,0,
0x1684843a68f7e6489c666d524f178edb1af27772,DividendDistributor.distributeDividend,1,1,1,--------
0x172e09691dfbbc035e37c73b62095caa16ee2388,Depot.exchangeEtherForSynths,1,0,1,--------
0x172e09691dfbbc035e37c73b62095caa16ee2388,Synthetix.removeSynth,0,,0,No REENT --- modifier
0x1806b3527c18fb532c46405f6f014c1f381b499a,PlanetCryptoToken.buyLand,1,,0,
0x190956a704fbb70f0acce8338870771d17654952,MessierAnonymity.swapAndShare,0,1,1,No REENT ---  array issue -- shareOfReward--------
0x1963737af12d3649f6f319fb64af2aa29f7256b7,MessierAnonymity.swapAndShare,0,1,1,No REENT ---  array issue -- shareOfReward--------
0x19b423e5131d8e4996a18e69d0cb99674ba34c21,BuybackBabyToken._transferFrom,0,,0,No REENT ---  external call at the end 
0x19b423e5131d8e4996a18e69d0cb99674ba34c21,DividendDistributor.distributeDividend,1,1,1,--------
0x1a050d77003caee532df18d04d86b99ca15bf9e8,POOHMO.determinePID,1,,0,REENT -- getPlayerID can reenter
0x1a050d77003caee532df18d04d86b99ca15bf9e8,POOHMO.endRound,0,1,1,No REENT ---  sending eth to fixed address (admin)--------
0x1a9206cd9a4c59967ca728ca96b15287b2fd4c7c,CoinFlip.refundFlip,0,,0,No REENT --- array issue
0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,Primacorp.fallback,1,1,1,---------- Reason for Reentrancy Vulnerability: allowance[msg.sender] =0 is set after the external call and if condition checks whether allowance[msg.sender] > 0 or not
0x1c1de57cc864072f7eab381c4c06b14a6963dd4b,ERC20dex.trade,0,,0,No REENT --- array issue
0x1da73fc09ea07781482994036a0eecc7e6952dfb,TydoIco.refund,1,0,1,--------
0x1e887e7115321b4ee5d58dd446ec09e12b45d81b,GFarm.POOL1_unstake,1,1,1,--------
0x1f42f986f9ef31d6ef787565b211bce0eb877bcc,GameWave.startPayments,0,,0,No REENT --- send to fixed address
0x20c476bb4c7aa64f919278fb9c09e880583beb4c,X3ProfitMainFundTransfer.fallback,1,0,1,---------- Reason for REENT: Variable isResend
0x214a8abb5fd89d3605c6cadb178f1748c36f6b8d,PAPE.openTrading,0,,0,No REENT --- onlyowner
0x2247fdc0e5de91ae589abfab8b99976d8e9f330b,BoomerangLiquidity.payout,1,1,1,--------
0x2268003d92ff03be6ca6da029f8d8127fd2f617e,ShortOrder.exerciseLong,1,,0,
0x2268003d92ff03be6ca6da029f8d8127fd2f617e,ShortOrder.nonActivationShortWithdrawal,1,,0,
0x2268003d92ff03be6ca6da029f8d8127fd2f617e,ShortOrder.nonActivationWithdrawal,1,,0,
0x2268003d92ff03be6ca6da029f8d8127fd2f617e,ShortOrder.tokenFulfillmentDeposit,1,,0,
0x2463a3f13cea3ea308be5c23cc887fdf205653ea,ADAMPROJECT._transfer,0,,0,
0x2463a3f13cea3ea308be5c23cc887fdf205653ea,ADAMPROJECT.swapBack,0,,0,No REENT --- modifier
0x246fcdc18bf3781b4c5100b3a6decef8dbcc8a31,AIDOGEX._transfer,0,,0,dynamic No REENT -- inSwapAndLiquify
